,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500
355,0.0029034,0.0030832,0.0070697,0.024384,0.032597,0.030928,0.0351,0.047382,0.072031,0.088118,0.085342,0.080574,0.071429,0.056189,0.036865,0.018171,0.0042914,0,0,0,0,0,0.00084671,0.00069977,0.00037319,0.0011427,0.0021689,0.0030682,0.0042301,0.0043173,0.0044582
360,0.0030496,0.0032385,0.0074258,0.025613,0.034239,0.032486,0.036869,0.049769,0.07566,0.092556,0.089641,0.084632,0.075027,0.05902,0.038722,0.019086,0.0045075,0,0,0,0,0,0.00088937,0.00073502,0.00039199,0.0012003,0.0022781,0.0032228,0.0044432,0.0045348,0.0046828
365,0.0031837,0.0033808,0.0077523,0.026739,0.035744,0.033914,0.03849,0.051957,0.078986,0.096626,0.093582,0.088353,0.078326,0.061615,0.040424,0.019926,0.0047057,0,0,0,0,0,0.00092847,0.00076733,0.00040923,0.001253,0.0023783,0.0033645,0.0046385,0.0047342,0.0048887
370,0.0032891,0.0034928,0.008009,0.027624,0.036928,0.035037,0.039764,0.053678,0.081602,0.099825,0.096681,0.091279,0.08092,0.063655,0.041763,0.020585,0.0048615,0,0,0,0,0,0.00095921,0.00079274,0.00042278,0.0012945,0.002457,0.0034759,0.0047921,0.004891,0.0050505
375,0.0033933,0.0036035,0.0082628,0.028499,0.038098,0.036147,0.041024,0.055379,0.084187,0.10299,0.099744,0.094171,0.083484,0.065672,0.043086,0.021238,0.0050156,0,0,0,0,0,0.00098961,0.00081786,0.00043617,0.0013356,0.0025349,0.003586,0.004944,0.0050459,0.0052106
380,0.0034663,0.003681,0.0084405,0.029113,0.038917,0.036925,0.041907,0.05657,0.085998,0.1052,0.10189,0.096197,0.08528,0.067085,0.044013,0.021695,0.0051235,0,0,0,0,0,0.0010109,0.00083545,0.00044556,0.0013643,0.0025894,0.0036632,0.0050503,0.0051545,0.0053227
385,0.0035239,0.0037421,0.0085805,0.029596,0.039563,0.037538,0.042602,0.057508,0.087425,0.10695,0.10358,0.097793,0.086695,0.068198,0.044743,0.022054,0.0052085,0,0,0,0,0,0.0010277,0.00084931,0.00045295,0.0013869,0.0026324,0.0037239,0.0051341,0.00524,0.005411
390,0.0035417,0.003761,0.0086239,0.029745,0.039763,0.037727,0.042817,0.057799,0.087867,0.10749,0.1041,0.098287,0.087133,0.068542,0.044969,0.022166,0.0052348,0,0,0,0,0,0.0010329,0.00085361,0.00045524,0.0013939,0.0026457,0.0037428,0.0051601,0.0052665,0.0054383
395,0.0035114,0.0037289,0.0085503,0.029491,0.039423,0.037405,0.042451,0.057305,0.087117,0.10657,0.10321,0.097448,0.086389,0.067957,0.044585,0.021977,0.0051901,0,0,0,0,0,0.001024,0.00084632,0.00045135,0.001382,0.0026231,0.0037108,0.005116,0.0052215,0.0053919
400,0.0034256,0.0036377,0.0083412,0.02877,0.038459,0.03649,0.041413,0.055904,0.084986,0.10397,0.10069,0.095065,0.084276,0.066295,0.043495,0.021439,0.0050632,0,0,0,0,0,0.000999,0.00082562,0.00044031,0.0013482,0.0025589,0.0036201,0.0049909,0.0050938,0.00526
